Tm,Cm,Sm,hop,latency,label
1457,3,0.2,1,1461.2665848404672,0
1455,3,0.19,5,1462.6671533348995,0
1274,3,0.18,7,1287.7081815032152,0
1198,2,0.17,4,1211.8118445636596,0
1103,2,0.16,1,1110.5042214894574,0
970,3,0.15,6,978.4763939769332,0
1670,1,0.19,6,2036.7327988880315,0
2010,3,0.23,3,2021.122001828182,0
733,1,0.11,6,1758.8767205048089,0
1636,2,0.23,5,1659.5586950705178,0
1567,3,0.22,1,1580.8858250689846,0
972,1,0.14,3,1748.7237980549285,0
1711,2,0.22,7,1728.4285573891689,0
1238,1,0.16,6,1932.2638615347732,0
1787,2,0.21,4,1805.9233346331748,0
1770,3,0.2,1,1777.0105496201318,0
1664,2,0.19,2,1669.39191699907,0
1639,2,0.18,6,1648.9210349218483,0
1452,2,0.17,7,1465.4879714824924,0
1777,1,0.22,6,1877.5816817266223,0
252,1,0.02,5,2351.283114216209,0
1545,1,0.21,5,1633.4041385077526,0
2143,1,0.24,2,2163.987830579097,0
1865,1,0.23,4,1902.6823528341324,0
1831,2,0.22,2,1843.6860441936424,0
1791,2,0.21,1,1796.7956820992276,0
1352,3,0.2,1,1354.8110661404785,0
1337,3,0.19,5,1343.5272313617124,0
1678,1,0.21,5,1794.1738625884018,0
1658,3,0.23,1,1665.3039770460646,0
1660,2,0.22,5,1666.8641095501584,0
1459,3,0.21,5,1469.8110063458125,0
1380,3,0.2,5,1395.8154525934747,0
1002,1,0.16,6,1723.3689401896754,0
1707,2,0.23,4,1726.3671378702616,0
1552,3,0.22,5,1575.2322795569785,0
1526,3,0.21,6,1543.0465189294596,0
1390,3,0.2,4,1400.8196913371444,0
1367,3,0.19,1,1372.398617384567,0
1247,1,0.18,2,1937.2818930891144,0
1930,2,0.25,1,1934.1273891538626,0
1554,1,0.17,2,2375.3955991306966,0
786,1,0.13,3,1782.6442773148024,0
1610,3,0.23,5,1619.276693337487,0
1312,1,0.14,3,2547.540001366803,0
2458,3,0.23,6,2470.3869862560236,0
2368,1,0.24,4,2400.3026785732795,0
2161,3,0.24,7,2172.2185008351407,0
2155,2,0.23,6,2168.5583190383245,0
2149,2,0.22,3,2158.7283825273944,0
2069,3,0.21,6,2079.5478594115616,0
1816,1,0.24,7,1886.7832871931478,0
1749,2,0.24,3,1760.9414183628337,0
1504,3,0.23,5,1513.626821633677,0
1112,1,0.16,2,1995.0785722717196,0
1984,2,0.24,2,1988.0294120367116,0
1889,3,0.23,1,1892.5674861752582,0
1853,3,0.22,5,1865.4759590256112,0
1733,2,0.21,1,1746.034274908946,0
1703,2,0.2,7,1713.6075021971174,0
664,1,0.09,5,1953.331711100419,0
1897,2,0.25,7,1911.5480490738873,0
1838,3,0.24,6,1853.8897351614628,0
1843,3,0.23,4,1853.3240579700155,0
1551,1,0.23,5,1821.9671379604356,0
1637,1,0.18,6,2450.2649263037415,0
2347,2,0.24,5,2359.213664769779,0
2132,3,0.23,4,2143.3597883444154,0
2116,2,0.22,5,2131.102857111543,0
2023,1,0.23,5,2318.9171292364726,0
1877,2,0.25,1,1883.0061997658868,0
1847,2,0.24,7,1855.862284381531,0
1813,3,0.23,6,1830.6123125485083,0
1798,2,0.22,3,1811.6472243813937,0
0,1,0.01,1,2291.8474013707764,0
1193,1,0.19,2,2092.5377566874604,0
1978,2,0.25,7,1988.8407831264103,0
1870,3,0.24,3,1885.7708633273933,0
1738,2,0.23,7,1753.2007497254394,0
1788,1,0.25,7,1901.4121555601478,0
1320,1,0.13,2,2323.283107196067,0
1576,1,0.22,5,1833.8977853372676,0
1815,3,0.25,4,1825.4738039951562,0
1800,2,0.24,7,1811.6467366072848,0
1714,1,0.26,1,1755.8156591462566,0
1750,3,0.25,2,1755.833991190224,0
1652,3,0.24,5,1661.192139929803,0
0,1,0.01,6,2936.4613237922417,0
2898,3,0.26,2,2918.663686761821,0
2851,2,0.25,5,2860.698352689994,0
658,1,0.12,4,1463.7179263084895,0
1099,1,0.14,6,2531.69986075252,0
2510,3,0.27,2,2520.2511674787474,0
2481,2,0.26,4,2497.925994487915,0
2437,3,0.25,5,2456.426261154659,0
2412,2,0.24,7,2425.636991308806,0
2363,2,0.23,2,2372.8159188646982,0
2241,3,0.22,7,2251.9877153254024,0
2106,3,0.21,7,2128.7139179495925,0
2076,3,0.2,5,2095.477992566243,0
2034,3,0.19,6,2046.4317337891111,0
1857,3,0.18,1,1866.5971461198164,0
1668,3,0.17,5,1676.3466182481375,0
1576,2,0.16,2,1587.7986481987004,0
1577,2,0.15,1,1583.160414720929,0
1445,3,0.15,4,1450.9699469231487,0
1336,3,0.14,6,1346.6410186152507,0
1131,3,0.13,6,1143.637029108581,0
1061,2,0.12,7,1075.794322370079,0
832,2,0.11,7,847.4194449771744,0
790,2,0.1,7,804.8842647743113,0
1597,1,0.23,1,1786.9503764524775,0
1769,2,0.28,6,1777.5872552985834,0
1598,2,0.27,2,1607.4302302923697,0
1337,2,0.26,3,1345.26077321929,0
2139,1,0.25,1,2426.4832697773395,0
604,1,0.1,3,2960.116335547527,0
2684,2,0.28,4,2692.0286929880103,0
1420,1,0.26,1,1605.7988248014994,0
1597,2,0.28,2,1601.9259169888815,0
1452,3,0.27,4,1459.068449489907,0
1360,3,0.26,4,1372.1089962284946,0
2407,1,0.29,4,2442.3431857142045,0
2348,2,0.29,4,2356.2843292071293,0
2238,3,0.28,7,2249.248017143017,0
638,1,0.1,6,2235.557190793708,0
2209,1,0.25,4,2510.8491170669986,0
2419,3,0.27,6,2429.5766380517625,0
2364,3,0.26,1,2372.639674677804,0
570,1,0.1,3,2514.188301482366,0
2490,2,0.27,5,2500.909782053728,0
2422,2,0.26,2,2431.955698633411,0
2333,2,0.25,4,2341.530164574263,0
2171,3,0.24,6,2183.311815742744,0
2128,2,0.23,3,2138.5615308027877,0
2070,3,0.22,1,2075.2396417263985,0
2045,3,0.21,2,2050.9281985915018,0
41,1,0.02,4,2604.4313519120838,0
2567,3,0.3,3,2582.1759074392257,0
2448,3,0.29,4,2460.1592356554675,0
2445,2,0.28,7,2462.5955837101137,0
2406,2,0.27,1,2419.102389951363,0
2295,3,0.26,1,2297.8780341358975,0
2260,2,0.25,2,2265.9998759730906,0
2138,2,0.24,5,2153.7039492763224,0
2062,3,0.24,1,2075.5747618713303,0
1951,2,0.23,2,1956.5291775787405,0
1357,1,0.26,4,1515.2247161341647,0
1504,3,0.28,3,1515.269530373569,0
1472,2,0.27,1,1480.5327401708996,0
2649,1,0.27,3,2840.609593567016,0
2808,2,0.28,6,2821.171236572959,0
1195,1,0.16,2,2298.4850292334895,0
2242,3,0.28,5,2254.1179904477053,0
2227,1,0.28,5,2408.7128320928955,0
2336,3,0.29,5,2352.837641140272,0
2230,3,0.28,6,2242.7311329699073,0
2125,3,0.27,2,2133.6100239899934,0
2126,2,0.26,2,2131.3747309615624,0
2042,2,0.25,5,2055.888642925794,0
1933,1,0.2,7,2654.628153578436,0
2629,2,0.29,6,2649.6683726783886,0
2806,1,0.28,2,2894.3784669194833,0
2869,2,0.29,4,2876.117715832031,0
2838,3,0.28,1,2845.5385359880233,0
2739,2,0.27,1,2743.84176254112,0
2704,2,0.26,5,2712.237954404052,0
2664,3,0.25,4,2679.726416421614,0
2612,3,0.24,3,2624.5716778234514,0
2510,2,0.23,2,2517.314713376894,0
1928,3,0.22,3,1935.8394163980915,0
2131,1,0.22,1,2941.887036069477,0
2911,3,0.29,6,2919.9856802379254,0
2811,2,0.28,1,2819.9896533916217,0
2780,3,0.27,5,2787.2984018465445,0
2465,1,0.29,6,2542.502020318671,0
1692,1,0.22,5,2320.2617035748804,0
2256,2,0.31,2,2263.8145802413496,0
2219,3,0.3,2,2223.318970287626,0
2201,3,0.29,4,2207.738118300232,0
2178,2,0.28,6,2188.8866686014803,0
2161,2,0.27,6,2174.0401972104537,0
2135,3,0.26,3,2145.826069934115,0
